[step],total-discharged,total-recovered,patient-deaths,successful-antibiotics,total-antibiotic-failures,total-mutations
229,52.79012345679013,56.864197530864196,0.12345679012345678,56.864197530864196,1.6049382716049383,87.85185185185185
230,53.17283950617284,57.02469135802469,0.12345679012345678,57.02469135802469,1.5679012345679013,88.29629629629629
231,53.39506172839506,57.08641975308642,0.12345679012345678,57.08641975308642,1.5679012345679013,88.76543209876543
232,53.67901234567901,57.17283950617284,0.12345679012345678,57.17283950617284,1.5432098765432098,89.37037037037037
233,54.01234567901235,57.27160493827161,0.12345679012345678,57.27160493827161,1.5555555555555556,89.90123456790124
234,54.2962962962963,57.382716049382715,0.12345679012345678,57.382716049382715,1.5061728395061729,90.29629629629629
235,54.53086419753087,57.48148148148148,0.12345679012345678,57.48148148148148,1.5185185185185186,90.82716049382717
236,54.95061728395062,57.54320987654321,0.12345679012345678,57.54320987654321,1.5432098765432098,91.30864197530865
237,55.28395061728395,57.69135802469136,0.12345679012345678,57.69135802469136,1.5308641975308641,91.81481481481481
238,55.53086419753087,57.76543209876543,0.12345679012345678,57.76543209876543,1.4938271604938271,92.29629629629629
239,55.888888888888886,57.925925925925924,0.12345679012345678,57.925925925925924,1.4567901234567902,92.85185185185185
240,56.24691358024691,57.98765432098765,0.12345679012345678,57.98765432098765,1.4567901234567902,93.4074074074074
241,56.41975308641975,58.04938271604938,0.13580246913580246,58.04938271604938,1.4444444444444444,94.18518518518519
242,56.7037037037037,58.18518518518518,0.13580246913580246,58.18518518518518,1.4444444444444444,94.75308641975309
243,57.02469135802469,58.30864197530864,0.13580246913580246,58.30864197530864,1.4320987654320987,95.58024691358025
244,57.2962962962963,58.44444444444444,0.13580246913580246,58.44444444444444,1.4197530864197532,96.17283950617283
245,57.65432098765432,58.53086419753087,0.13580246913580246,58.53086419753087,1.4320987654320987,96.67901234567901
246,57.93827160493827,58.666666666666664,0.13580246913580246,58.666666666666664,1.4444444444444444,97.07407407407408
247,58.34567901234568,58.80246913580247,0.13580246913580246,58.80246913580247,1.4567901234567902,97.53086419753086
248,58.666666666666664,58.91358024691358,0.13580246913580246,58.91358024691358,1.4567901234567902,98.1604938271605
249,58.91358024691358,58.96296296296296,0.13580246913580246,58.96296296296296,1.4938271604938271,98.69135802469135
250,59.17283950617284,59.074074074074076,0.13580246913580246,59.074074074074076,1.4938271604938271,99.35802469135803
251,59.382716049382715,59.19753086419753,0.13580246913580246,59.19753086419753,1.4320987654320987,99.81481481481481
252,59.592592592592595,59.2962962962963,0.13580246913580246,59.2962962962963,1.4074074074074074,100.29629629629629
253,59.79012345679013,59.41975308641975,0.13580246913580246,59.41975308641975,1.4074074074074074,100.92592592592592
254,59.98765432098765,59.54320987654321,0.13580246913580246,59.54320987654321,1.4197530864197532,101.50617283950618
255,60.25925925925926,59.69135802469136,0.13580246913580246,59.69135802469136,1.4074074074074074,102.06172839506173
256,60.4320987654321,59.79012345679013,0.13580246913580246,59.79012345679013,1.3703703703703705,102.48148148148148
257,60.65432098765432,59.97530864197531,0.13580246913580246,59.97530864197531,1.3333333333333333,102.95061728395062
258,60.76543209876543,60.074074074074076,0.14814814814814814,60.074074074074076,1.2839506172839505,103.46913580246914
